Medicine_Name,Current_Stock,Days_Until_Expiry,Average_Daily_Usage
Theophylline,326,41,8.55
Pyrazinamide,146,265,0.49
Rifampicin,139,171,0.95
Tamsulosin,159,153,0.93
Olanzapine,33,327,0.09
Erythromycin,119,363,0.39
Ofloxacin,472,280,1.52
Morphine,475,106,3.77
Quetiapine,356,296,1.07
Prednisone,238,257,1.1
Chloroquine,449,159,3.37
Rifampicin,17,169,0.1
Isoniazid,45,326,0.16
Budesonide,366,132,2.64
Simvastatin,127,351,0.32
Ketoconazole,340,158,1.97
Mebendazole,131,75,1.46
Clopidogrel,420,112,4.37
Pantoprazole,333,103,3.28
Warfarin,456,41,8.93
Hydrochlorothiazide,161,201,0.84
Valproate,36,262,0.12
Furosemide,294,123,2.25
Lumefantrine,499,298,1.37
Acyclovir,356,306,1.18
Clotrimazole,390,222,1.41
Erythromycin,301,216,1.62
Ivermectin,311,24,15.48
Theophylline,262,97,2.54
Tramadol,146,100,1.6
Ceftriaxone,105,306,0.3
Salbutamol,9,320,0.02
Lithium,248,110,2.28
Cyclizine,84,15,5.32
Granisetron,406,182,2.44
Calcium Carbonate,138,143,1.11
Ibuprofen,15,242,0.07
Losartan,2,167,0.01
Cyclizine,411,217,1.91
Paracetamol,116,151,0.77
Pyrazinamide,448,181,2.2
Omeprazole,247,351,0.79
Calcium Carbonate,2,322,0.01
Salmeterol,178,181,1.09
Ranitidine,347,15,25.58
Prednisone,115,107,1.05
Codeine,170,58,3.33
Hydroxychloroquine,355,181,2.13
Meropenem,439,173,2.04
Lorazepam,438,342,1.18
Lisinopril,442,24,19.99
Quetiapine,232,340,0.7
Lisinopril,267,131,2.21
Clopidogrel,77,330,0.23
Cyclizine,272,176,1.66
Hydroxychloroquine,132,36,3.31
Clopidogrel,230,299,0.66
Calcium Carbonate,224,221,0.92
Montelukast,437,288,1.4
Adrenaline,336,224,1.65
Lorazepam,274,259,0.88
Oseltamivir,195,168,1.23
Adrenaline,372,29,10.7
Ciprofloxacin,89,134,0.69
Paracetamol,22,151,0.17
Hydroxychloroquine,136,330,0.44
Amoxicillin,279,320,0.98
Lithium,300,105,2.63
Naproxen,483,41,9.85
Ceftriaxone,99,275,0.33
Betamethasone,308,76,4.2
Chloroquine,439,258,1.74
Mebendazole,420,194,2.53
Pseudoephedrine,31,339,0.1
Linezolid,241,26,9.2
Formoterol,267,63,3.76
Lisinopril,3,186,0.01
Prednisone,169,224,0.7
Tramadol,475,108,5.08
Fluoxetine,303,215,1.23
Paracetamol,481,248,1.65
Paracetamol,340,162,2.47
Ibuprofen,52,224,0.24
Metformin,258,348,0.75
Acyclovir,411,256,1.77
Alprazolam,22,235,0.1
Cyclizine,275,58,4.23
Noradrenaline,407,205,1.65
Acyclovir,185,82,2.7
Clotrimazole,344,204,1.75
Fluoxetine,22,111,0.24
Metronidazole,34,154,0.21
Nitrofurantoin,391,34,9.44
Salbutamol,268,67,3.44
Cetirizine,301,245,1.07
Omeprazole,398,202,2.12
Risperidone,489,186,2.4
Amlodipine,303,274,1.03
Atorvastatin,118,283,0.36
Ceftriaxone,97,321,0.27
Isoniazid,58,275,0.18
Domperidone,167,346,0.53
Tamsulosin,166,43,3.9
Chlorpheniramine,210,44,5.47
Calcium Carbonate,18,164,0.12
Ketoconazole,344,321,0.99
Ethambutol,226,76,3.28
Midazolam,489,243,1.68
Loratadine,349,67,5.81
Beclomethasone,409,246,1.81
Zinc Acetate,326,347,0.96
Cefixime,79,69,0.92
Norfloxacin,402,98,3.54
Ethambutol,105,345,0.26
Ibuprofen,402,264,1.39
Diclofenac,169,20,7.31
Quetiapine,326,83,4.57
Hydrochlorothiazide,387,14,29.15
Nitrofurantoin,492,215,2.22
Amoxicillin,386,137,2.93
Calcium Carbonate,224,80,3.01
Ibuprofen,73,237,0.26
Budesonide,439,46,10.96
Azithromycin,163,278,0.62
Ibuprofen,283,289,0.92
Valproate,88,269,0.27
Montelukast,153,310,0.59
Valproate,366,285,1.19
Prednisone,74,198,0.42
Rifampicin,317,151,1.69
Acyclovir,261,177,1.61
Cefixime,282,286,1.03
Clopidogrel,451,172,2.58
Morphine,362,113,2.97
Chloroquine,344,303,1.11
Fentanyl,50,274,0.17
Fentanyl,43,117,0.3
Betamethasone,483,272,1.8
Diazepam,231,257,0.75
Pantoprazole,388,30,14.49
Ketoconazole,183,122,1.57
Phenytoin,190,15,10.41
Olanzapine,446,228,1.89
Diclofenac,104,295,0.4
Ethambutol,497,189,2.82
Simvastatin,244,31,6.32
Pseudoephedrine,84,81,1.2
Dopamine,80,113,0.73
Noradrenaline,181,354,0.42
Ivermectin,336,337,0.98
Alprazolam,354,168,1.98
Chloroquine,309,18,15.33
Lumefantrine,337,316,0.93
Furosemide,399,259,1.75
Pantoprazole,220,244,1.02
Tamsulosin,245,177,1.48
Naproxen,486,253,1.83
Pantoprazole,38,272,0.12
Valproate,25,111,0.21
Lorazepam,204,263,0.79
Levothyroxine,1,151,0.01
Quetiapine,103,53,1.58
Hydrochlorothiazide,223,238,0.75
Loratadine,357,200,1.46
Fentanyl,58,193,0.3
Dexamethasone,444,337,1.12
Hydroxychloroquine,279,239,1.32
Furosemide,123,207,0.7
Adrenaline,94,146,0.71
Norfloxacin,85,197,0.43
Doxycycline,460,283,1.74
Ceftriaxone,281,164,1.7
Adrenaline,267,109,2.06
Doxycycline,430,318,1.46
Fluoxetine,149,157,0.89
Ceftriaxone,393,226,2.08
Artemether,426,352,1.44
Naproxen,127,19,6.07
Betamethasone,274,165,1.42
Carbamazepine,90,49,1.48
Vitamin D,341,94,3.16
Clotrimazole,434,119,3.4
Ceftriaxone,398,21,16.19
Doxycycline,334,133,2.38
Haloperidol,322,221,1.7
Cefixime,428,269,1.42
Omeprazole,409,227,1.78
Olanzapine,88,115,0.89
Gabapentin,202,54,4.05
Pyrazinamide,19,331,0.05
Naproxen,319,297,1.15
Fentanyl,284,229,1.36
Risperidone,317,304,0.86
Pantoprazole,12,228,0.05
Clopidogrel,186,201,1.02
Valproate,99,279,0.32
Amlodipine,160,241,0.59
Phenytoin,197,41,4.93
Ranitidine,482,61,9.05
Lisinopril,290,322,0.95
Ketoconazole,189,113,1.44
Theophylline,324,224,1.18
Haloperidol,492,16,28.55
Phenylephrine,20,294,0.08
Domperidone,193,205,0.8
Tinidazole,238,74,2.92
Quetiapine,436,135,3.09
Alprazolam,441,362,1.38
Tinidazole,466,256,1.61
Granisetron,171,230,0.64
Lorazepam,230,92,2.51
Pyrazinamide,327,152,2.2
Chlorpheniramine,353,88,4.36
Spironolactone,418,251,1.76
Phenytoin,234,268,1.05
Ivermectin,95,287,0.31
Isoniazid,310,304,1.17
Naproxen,134,10,14.7
Erythromycin,46,142,0.32
Morphine,192,216,0.89
Tazobactam,19,341,0.05
Ciprofloxacin,116,218,0.48
Cefixime,411,131,2.68
Tinidazole,96,268,0.39
Pseudoephedrine,207,22,9.55
Losartan,468,315,1.35
Chlorpheniramine,397,349,1.33
Montelukast,497,277,1.96
Lorazepam,261,165,1.59
Pseudoephedrine,145,286,0.5
Lisinopril,291,340,0.89
Piperacillin,293,153,1.75
Norfloxacin,464,315,1.3
Montelukast,493,234,2.27
Noradrenaline,185,22,9.96
Granisetron,357,233,1.58
Calcium Carbonate,145,224,0.62
Vitamin D,472,205,2.71
Olanzapine,344,179,2.11
Pantoprazole,352,333,1.22
Ivermectin,247,186,1.22
Meropenem,382,106,3.47
Losartan,279,306,0.95
Metformin,281,333,0.86
Furosemide,389,207,1.87
Tamsulosin,454,316,1.39
Piperacillin,420,273,1.28
Ofloxacin,209,309,0.7
Meropenem,468,56,7.2
Phenylephrine,57,318,0.15
Tamsulosin,155,155,1.16
Ranitidine,146,17,10.06
Metronidazole,421,221,2.06
Olanzapine,75,222,0.38
Ofloxacin,340,17,19.65
Ivermectin,104,140,0.68
Chlorpheniramine,366,308,1.33
Ofloxacin,224,238,0.91
Levothyroxine,458,116,4.24
Azithromycin,205,239,0.87
Simvastatin,255,278,0.84
Adrenaline,259,339,0.73
Granisetron,183,244,0.86
Cefixime,216,289,0.76
Insulin,424,296,1.29
Lithium,187,107,1.96
Carbamazepine,356,41,7.42
Metronidazole,178,44,3.45
Nitrofurantoin,292,130,2.33
Amoxicillin,117,182,0.72
Chlorpheniramine,375,34,11.63
Amlodipine,283,56,5.6
Mebendazole,209,288,0.84
Formoterol,182,143,1.22
Fentanyl,331,197,1.77
Formoterol,67,199,0.29
Amoxicillin,202,345,0.48
Escitalopram,101,168,0.54
Prednisone,126,40,3.12
Phenylephrine,440,136,2.95
Vancomycin,375,24,13.03
Dexamethasone,243,154,1.68
Prednisone,227,248,0.76
Fluoxetine,302,333,0.96
Gabapentin,45,176,0.21
Losartan,343,15,23.93
Simvastatin,193,258,0.73
Vancomycin,464,129,2.91
Ketoconazole,94,145,0.76
Domperidone,326,287,0.99
Erythromycin,16,172,0.08
Naproxen,209,363,0.61
Warfarin,45,128,0.36
Azithromycin,357,98,4.03
Midazolam,395,332,1.02
Mebendazole,295,129,1.98
Clozapine,293,244,1.31
Chlorpheniramine,321,39,9.77
Ethambutol,30,259,0.14
Cetirizine,325,357,0.75
Azithromycin,341,118,2.33
Clopidogrel,167,62,2.38
Omeprazole,201,259,0.87
Metformin,173,121,1.16
Fluoxetine,45,133,0.32
Metronidazole,127,340,0.39
Naproxen,189,69,2.26
Codeine,358,230,1.51
Linezolid,28,300,0.09
Codeine,135,256,0.43
Tazobactam,253,25,12.08
Insulin,400,293,1.32
Risperidone,190,14,14.8
Salmeterol,383,289,1.17
Linezolid,196,128,1.51
Lorazepam,25,256,0.1
Rifampicin,109,268,0.44
Losartan,386,224,1.66
Tinidazole,464,92,4.06
Diclofenac,335,27,11.83
Quetiapine,327,33,9.94
Norfloxacin,220,20,11.6
Hydroxychloroquine,8,32,0.22
Erythromycin,33,64,0.44
Clozapine,352,203,1.95
Tamsulosin,231,338,0.76
Chloroquine,375,119,3.09
Tinidazole,181,352,0.52
Piperacillin,378,352,0.9
Spironolactone,254,241,1.16
Zinc Acetate,38,226,0.15
Diazepam,82,348,0.21
Theophylline,447,19,25.76
Simvastatin,288,115,2.94
Spironolactone,302,140,2.06
Hydrochlorothiazide,55,80,0.69
Naloxone,318,100,3.35
Codeine,75,60,1.07
Hydroxychloroquine,179,256,0.7
Piperacillin,23,41,0.58
Paracetamol,190,159,1.08
Oseltamivir,498,19,24.54
Adrenaline,312,148,2.32
Ondansetron,463,308,1.7
Norfloxacin,305,49,6.66
Fentanyl,48,84,0.5
Diclofenac,21,225,0.08
Lithium,178,286,0.74
Nitrofurantoin,486,339,1.32
Artemether,216,287,0.8
Tramadol,431,108,3.3
Naproxen,182,117,1.5
Levofloxacin,10,159,0.06
Metronidazole,202,103,2.19
Furosemide,458,177,2.23
Zinc Acetate,50,57,0.74
Betamethasone,99,115,0.93
Clotrimazole,453,269,1.98
Nitrofurantoin,435,306,1.51
Alprazolam,486,127,3.56
Carbamazepine,43,152,0.23
Furosemide,324,335,0.97
Lumefantrine,282,291,0.85
Meropenem,45,299,0.12
Tinidazole,407,203,2.15
Oseltamivir,468,295,1.5
Warfarin,188,245,0.9
Domperidone,87,64,1.42
Erythromycin,196,179,1.28
Olanzapine,55,236,0.27
Linezolid,187,237,0.8
Phenylephrine,43,40,0.93
Levothyroxine,380,241,1.5
Vitamin D,211,177,1.16
Spironolactone,328,81,4.25
Linezolid,360,362,0.98
Quetiapine,61,307,0.24
Quetiapine,300,344,0.91
Beclomethasone,320,246,1.3
Chlorpheniramine,379,300,1.14
Cyclizine,368,302,1.01
Carbamazepine,93,333,0.32
Nitrofurantoin,81,268,0.31
Ofloxacin,373,144,2.41
Salbutamol,188,305,0.59
Prednisone,166,199,0.94
Ciprofloxacin,251,291,0.93
Granisetron,301,263,1.35
Budesonide,113,183,0.69
Lisinopril,155,320,0.52
Fentanyl,444,284,1.55
Fluoxetine,393,126,3.73
Olanzapine,406,274,1.4
Ofloxacin,169,120,1.35
Clotrimazole,12,129,0.11
Sertraline,251,285,0.82
Adrenaline,66,311,0.24
Noradrenaline,234,339,0.75
Noradrenaline,461,343,1.43
Montelukast,96,176,0.5
Levofloxacin,335,332,1.11
Pantoprazole,190,280,0.54
Oseltamivir,318,352,0.83
Midazolam,33,197,0.15
Alprazolam,155,94,1.8
Erythromycin,110,234,0.38
Beclomethasone,401,219,1.9
Naproxen,63,275,0.25
Olanzapine,404,153,2.66
Fentanyl,387,215,1.8
Budesonide,308,216,1.56
Haloperidol,49,90,0.57
Doxycycline,143,307,0.56
Ivermectin,147,296,0.58
Lisinopril,74,195,0.43
Montelukast,300,284,1.1
Zinc Acetate,290,97,2.94
Tamsulosin,287,286,1.14
Lorazepam,483,134,3.8
Domperidone,54,314,0.15
Morphine,249,173,1.19
Simvastatin,213,246,0.88
Diazepam,351,11,32.39
Lumefantrine,58,130,0.5
Pantoprazole,116,336,0.34
Naproxen,147,350,0.34
Quetiapine,387,236,1.35
Salbutamol,36,313,0.13
Risperidone,91,182,0.51
Diazepam,167,105,1.48
Nitrofurantoin,339,266,1.49
Diazepam,157,346,0.37
Metformin,311,167,1.93
Metronidazole,55,14,4.01
Meropenem,202,355,0.66
Escitalopram,467,70,7.63
Cefixime,441,191,2.57
Vitamin D,39,183,0.24
Morphine,123,69,1.68
Piperacillin,319,257,1.39
Amoxicillin,414,188,2.06
Ibuprofen,165,80,2.25
Phenylephrine,339,109,3.26
Pyrazinamide,459,241,1.92
Chloroquine,166,357,0.52
Lorazepam,13,125,0.11
Betamethasone,245,361,0.56
Fluoxetine,185,42,4.97
Ivermectin,294,303,0.93
Dopamine,37,218,0.18
Losartan,332,250,1.27
Lithium,333,239,1.61
Noradrenaline,388,69,4.54
Cyclizine,340,348,1.1
Metronidazole,29,359,0.08
Hydroxychloroquine,68,90,0.86
Erythromycin,236,178,1.34
Warfarin,311,346,1.01
Lorazepam,357,152,2.66
Calcium Carbonate,114,136,0.88
Valproate,164,362,0.48
Ofloxacin,282,288,1.03
Losartan,240,325,0.71
Levothyroxine,133,141,0.98
Midazolam,170,170,1.1
Tamsulosin,445,95,4.89
Adrenaline,117,113,1.18
Ondansetron,442,182,2.37
Domperidone,288,216,1.18
Isoniazid,258,173,1.29
Fluoxetine,494,311,1.52
Ciprofloxacin,151,100,1.59
Clotrimazole,495,176,2.85
Quetiapine,30,224,0.11
Levothyroxine,465,47,9.68
Prednisone,189,86,2.18
Warfarin,235,123,1.55
Levothyroxine,138,227,0.55
Granisetron,2,301,0.01
Diclofenac,110,315,0.32
Haloperidol,218,294,0.86
Norfloxacin,354,133,2.25
Linezolid,34,231,0.16
Nitrofurantoin,230,225,0.9
Chlorpheniramine,107,259,0.39
Tamsulosin,230,30,7.91
Chloroquine,323,342,0.79
Salbutamol,415,126,3.59
Phenytoin,115,281,0.35
Theophylline,54,70,0.82
Levothyroxine,333,352,0.95
Amoxicillin,110,151,0.67
Norfloxacin,351,256,1.14
Adrenaline,484,298,1.85
Diclofenac,390,253,1.71
Acyclovir,441,160,2.73
Amlodipine,302,211,1.53
Gabapentin,300,14,23.08
Naproxen,43,317,0.12
Ranitidine,42,233,0.19
Ondansetron,400,286,1.5
Pseudoephedrine,268,59,5.05
Nitrofurantoin,327,345,0.9
Phenytoin,418,258,1.92
Gabapentin,380,253,1.42
Ethambutol,316,236,1.32
Salmeterol,159,147,0.97
Salmeterol,239,136,2.03
Artemether,170,194,0.74
Omeprazole,210,124,1.62
Granisetron,291,11,23.66
Insulin,223,162,1.62
Nitrofurantoin,463,88,5.5
Theophylline,439,88,4.12
Lorazepam,396,253,1.67
Domperidone,240,183,1.19
Phenylephrine,171,228,0.85
Montelukast,220,166,1.39
Meropenem,236,158,1.23
Ketoconazole,194,247,0.68
Amlodipine,154,228,0.57
Sertraline,105,185,0.53
Budesonide,119,100,1.37
Calcium Carbonate,479,155,3.43
Granisetron,472,191,2.59
Vancomycin,98,115,0.95
Artemether,230,185,1.24
Theophylline,108,279,0.35
Valproate,30,117,0.21
Clozapine,288,12,27.81
Amlodipine,28,293,0.09
Doxycycline,36,160,0.2
Diazepam,309,309,1.1
Gabapentin,478,304,1.78
Furosemide,144,206,0.7
Isoniazid,8,257,0.04
Meropenem,429,231,2.12
Ketoconazole,364,202,1.77
Atorvastatin,413,144,3.12
Morphine,435,99,3.77
Granisetron,62,88,0.6
Lorazepam,122,335,0.38
Amlodipine,440,259,1.8
Dopamine,120,34,3.88
Vitamin D,302,289,1.22
Linezolid,14,249,0.07
Vitamin D,265,34,8.05
Domperidone,383,14,31.15
Salmeterol,403,242,1.87
Fluoxetine,464,363,1.19
Risperidone,246,336,0.78
Cetirizine,185,257,0.73
Lisinopril,228,347,0.74
Tinidazole,291,89,3.86
Formoterol,252,206,1.17
Adrenaline,376,134,2.39
Pseudoephedrine,444,134,3.68
Hydroxychloroquine,313,23,12.36
Metformin,472,287,1.94
Formoterol,39,204,0.17
Ranitidine,84,245,0.39
Clotrimazole,235,84,2.85
Spironolactone,5,184,0.03
Tinidazole,82,58,1.61
Risperidone,450,105,4.44
Adrenaline,413,238,1.53
Valproate,244,118,2.41
Amlodipine,494,274,1.59
Beclomethasone,300,362,0.69
Ketoconazole,205,354,0.63
Calcium Carbonate,314,205,1.57
Isoniazid,236,173,1.15
Quetiapine,11,20,0.54
Ketoconazole,350,34,11.59
Domperidone,233,156,1.44
Pyrazinamide,257,111,2.07
Levothyroxine,69,119,0.61
Paracetamol,318,293,1.22
Isoniazid,468,135,4.07
Linezolid,101,237,0.48
Sertraline,115,206,0.49
Naloxone,49,350,0.16
Levothyroxine,237,239,1.08
Ketoconazole,469,302,1.48
Escitalopram,59,226,0.21
Lisinopril,76,298,0.24
Spironolactone,99,26,3.41
Cefixime,251,86,2.67
Omeprazole,470,244,1.97
Losartan,455,29,17.25
Zinc Acetate,60,232,0.27
Ciprofloxacin,420,224,2.22
Pyrazinamide,372,128,3.0
Chlorpheniramine,93,142,0.57
Cefixime,22,142,0.18
Granisetron,39,91,0.38
Clopidogrel,220,312,0.8
Clozapine,393,82,5.34
Losartan,401,242,1.62
Diclofenac,155,210,0.62
Nitrofurantoin,184,139,1.39
Tinidazole,147,270,0.48
Loratadine,24,244,0.11
Beclomethasone,358,274,1.19
Metronidazole,80,208,0.46
Theophylline,173,297,0.59
Phenytoin,298,14,20.15
Linezolid,353,237,1.26
Adrenaline,341,217,1.42
Ibuprofen,111,256,0.36
Linezolid,190,11,14.35
Simvastatin,134,240,0.59
Warfarin,492,228,2.55
Clopidogrel,479,145,2.74
Hydrochlorothiazide,333,314,1.08
Levofloxacin,220,184,0.99
Midazolam,455,304,1.32
Risperidone,7,135,0.06
Calcium Carbonate,48,67,0.68
Tamsulosin,118,168,0.81
Adrenaline,301,182,1.58
Betamethasone,354,129,2.87
Linezolid,132,140,0.84
Linezolid,16,198,0.07
Morphine,183,111,1.67
Azithromycin,382,155,2.86
Ceftriaxone,213,320,0.55
Noradrenaline,233,303,0.7
Clopidogrel,213,11,17.24
Warfarin,242,44,5.08
Phenylephrine,412,200,1.89
Ceftriaxone,362,83,5.08
Fentanyl,438,139,2.6
Azithromycin,162,168,1.13
Spironolactone,139,304,0.52
Ivermectin,35,299,0.13
Dexamethasone,354,360,0.96
Mebendazole,99,269,0.41
Meropenem,457,309,1.21
Simvastatin,396,244,1.88
Adrenaline,15,93,0.14
Lumefantrine,458,300,1.7
Salmeterol,58,334,0.17
Diazepam,282,100,2.81
Adrenaline,183,289,0.55
Metformin,137,256,0.58
Quetiapine,174,356,0.41
Zinc Acetate,4,217,0.02
Phenytoin,15,266,0.06
Chloroquine,384,232,1.75
Amlodipine,162,257,0.73
Naproxen,206,118,1.49
Nitrofurantoin,337,20,19.08
Pantoprazole,465,254,1.82
Nitrofurantoin,356,164,2.22
Quetiapine,244,262,0.85
Chlorpheniramine,295,346,0.73
Chloroquine,260,189,1.15
Clotrimazole,426,264,1.34
Rifampicin,489,156,3.58
Cefixime,168,307,0.55
Lisinopril,438,241,2.07
Noradrenaline,182,129,1.53
Beclomethasone,194,355,0.6
Doxycycline,221,197,1.07
Lorazepam,61,329,0.22
Isoniazid,186,345,0.63
Lorazepam,121,34,4.19
Mebendazole,19,123,0.18
Morphine,303,331,1.04
Fentanyl,337,48,7.08
Ranitidine,465,230,1.83
Furosemide,325,139,2.8
Lorazepam,76,163,0.4
Cyclizine,264,240,1.21
Hydrochlorothiazide,169,209,0.72
Clopidogrel,289,163,2.03
Artemether,400,205,2.14
Rifampicin,105,361,0.28
Haloperidol,245,265,0.88
Valproate,137,245,0.67
Calcium Carbonate,444,88,5.75
Fentanyl,20,109,0.2
Tazobactam,52,307,0.16
Norfloxacin,254,353,0.68
Tamsulosin,112,152,0.68
Ceftriaxone,337,142,2.83
Loratadine,310,353,0.92
Ondansetron,374,69,4.9
Doxycycline,124,65,1.85
Domperidone,143,71,2.12
Losartan,77,52,1.21
Clotrimazole,390,304,1.23
Meropenem,152,192,0.64
Azithromycin,333,192,1.57
Oseltamivir,428,82,5.41
Clozapine,333,220,1.33
Loratadine,52,86,0.68
Vitamin D,167,315,0.46
Acyclovir,166,49,3.34
Insulin,341,312,1.0
Artemether,275,136,1.9
Montelukast,248,323,0.83
Tinidazole,371,297,1.4
Erythromycin,190,208,1.08
Tramadol,164,129,1.52
Insulin,19,180,0.11
Ranitidine,136,343,0.39
Tramadol,109,252,0.52
Formoterol,330,300,1.24
Domperidone,173,345,0.52
Naproxen,109,136,0.94
Clozapine,462,181,2.38
Alprazolam,71,249,0.28
Furosemide,207,227,0.94
Atorvastatin,68,74,0.83
Domperidone,472,63,6.77
Vancomycin,376,100,4.16
Naloxone,194,176,0.89
Domperidone,389,347,1.03
Salbutamol,191,145,1.44
Warfarin,427,294,1.55
Salmeterol,78,300,0.3
Escitalopram,161,207,0.83
Levofloxacin,429,332,1.11
Phenytoin,6,154,0.04
Domperidone,93,209,0.5
Carbamazepine,15,11,1.29
Metformin,142,43,2.66
Doxycycline,416,306,1.18
Meropenem,264,265,0.94
Dopamine,168,45,3.59
Nitrofurantoin,3,133,0.02
Granisetron,5,295,0.01
Alprazolam,389,72,5.3
Ivermectin,106,362,0.24
Zinc Acetate,167,226,0.85
Naloxone,443,245,1.66
Tinidazole,131,93,1.65
Naloxone,247,93,2.71
Piperacillin,499,318,1.7
Tazobactam,350,12,24.55
Rifampicin,418,124,3.16
Piperacillin,438,222,2.04
Dexamethasone,158,238,0.74
Norfloxacin,137,118,1.32
Ethambutol,167,107,1.81
Metronidazole,70,297,0.2
Ketoconazole,236,210,1.3
Cetirizine,499,339,1.41
Carbamazepine,464,356,1.52
Lorazepam,415,89,5.58
Ibuprofen,400,194,1.72
Atorvastatin,316,62,5.76
Warfarin,341,297,1.16
Lithium,167,279,0.63
Sertraline,489,111,3.82
Codeine,376,312,1.2
Clopidogrel,139,109,1.38
Noradrenaline,152,189,0.83
Tramadol,496,16,33.15
Cefixime,142,242,0.55
Furosemide,498,177,3.02
Spironolactone,358,96,3.34
Diclofenac,421,196,2.34
Lisinopril,479,282,1.46
Betamethasone,191,265,0.63
Salbutamol,419,319,1.17
Oseltamivir,207,189,1.0
Simvastatin,408,208,1.63
Warfarin,123,330,0.4
Rifampicin,477,302,1.46
Pseudoephedrine,305,114,2.99
Zinc Acetate,402,74,4.42
Phenylephrine,454,332,1.33
Hydrochlorothiazide,485,116,4.18
Vitamin D,292,134,2.1
Midazolam,482,121,3.29
Rifampicin,99,270,0.3
Piperacillin,125,348,0.4
Levofloxacin,18,119,0.15
Naloxone,291,330,0.91
Norfloxacin,221,257,0.94
Ofloxacin,112,256,0.37
Ofloxacin,163,299,0.56
Lithium,490,218,2.32
Insulin,185,122,1.5
Ethambutol,84,125,0.76
Salbutamol,224,244,0.85
Ofloxacin,332,157,2.28
Gabapentin,339,133,2.42
Meropenem,85,99,0.78
